key,zh,cat,value,winRate,decidedRate,minutes,k,d,a,ganks,gankKills,gankRate,roams,invades,towerPushes,splitPush,focusSwap,castMissRate,wasteRate,csRate,retreats,chaseDropped,mlv,diveTry,diveOk
resilience,韌性,心理,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
resilience,韌性,心理,90,0.4375,1,23.010416666666668,12.1875,11.4375,5.5,25.5625,0.1875,0.007334963325183374,0,0,30.625,0,0,0,0,1,70.0625,0.375,9.025000000000002,1.375,0.75
comms,溝通,團隊,40,0.3333333333333333,0.9375,24.161979166666665,12.5625,14.375,6.4375,26.6875,0.1875,0.00702576112412178,0,0,33.375,0,0,0,0,1,74.6875,0.375,9.425,1.875,0.5625
comms,溝通,團隊,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
comms,溝通,團隊,90,0.42857142857142855,0.875,25.008854166666666,16.25,14.875,7.3125,27.625,0.375,0.013574660633484163,1.375,0,32.25,0,0,0,0,1,78.1875,0.1875,9.537500000000001,1.5625,0.25
leadership,領導力,團隊,40,0.3125,1,22.92552083333333,12.3125,11.9375,6,25.25,0.4375,0.017326732673267328,0,0,32.9375,0,0,0,0,1,70.875,0.4375,9.237499999999999,1.625,0.4375
leadership,領導力,團隊,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
leadership,領導力,團隊,90,0.4666666666666667,0.9375,24.144791666666666,13.1875,14.75,5.6875,26.6875,0.5,0.01873536299765808,1.3125,0,32.4375,0,0,0,0,1,76.75,0.1875,9.1,1.125,0.0625
synergy,配合度,團隊,40,0.35714285714285715,0.875,24.601041666666664,14.5625,14.3125,7.3125,27.4375,0.375,0.01366742596810934,0,0,31.5625,0,0,0,0,1,75.9375,0.4375,9.725000000000001,1.4375,0.3125
synergy,配合度,團隊,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
synergy,配合度,團隊,90,0.46153846153846156,0.8125,25.224479166666665,15.625,14.9375,8.8125,27.625,0.375,0.013574660633484163,0,0,31,0,0,0,0,1,78.4375,0.25,9.7125,1.3125,0.3125
learning,學習力,團隊,40,0.1875,1,22.977083333333336,11.125,12.375,6.5,25.3125,0.375,0.014814814814814815,0,0,30.875,0,0,0,0,1,69.5625,0.25,9.062500000000002,1.3125,0.4375
learning,學習力,團隊,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
learning,學習力,團隊,90,0.5,1,22.3546875,10.5,10.5625,4.8125,24.8125,0.25,0.010075566750629723,0,0,30.8125,0,0,0,0,1,66.8125,0.125,9.012500000000001,1.625,0.875
