config,itemId,tier,purchases,per_match
scaling,bt_iron,BOOTS,499,2.5
scaling,t1_mr_l,T1,461,2.31
scaling,t3_unbroken,T3,445,2.23
scaling,t3_starcrown,T3,424,2.12
scaling,st_tome,STARTER,404,2.02
scaling,st_hunter,STARTER,400,2
scaling,st_tithe,STARTER,400,2
scaling,t3_dawnbow,T3,400,2
scaling,t3_warbringer,T3,392,1.96
scaling,t3_calmveil,T3,382,1.91
scaling,t3_bulwark,T3,358,1.79
scaling,t2_rift,T2,350,1.75
scaling,t3_voidstaff,T3,348,1.74
scaling,t3_vowshield,T3,336,1.68
scaling,bt_arcane,BOOTS,331,1.66
scaling,t3_stormfork,T3,314,1.57
scaling,t1_crit,T1,303,1.52
scaling,t1_mr_s,T1,299,1.5
scaling,bt_focus,BOOTS,287,1.44
scaling,t3_shieldbreaker,T3,285,1.43
scaling,t1_ar_l,T1,266,1.33
scaling,t2_echo,T2,251,1.25
scaling,t1_apen,T1,251,1.25
scaling,t3_bloodplate,T3,236,1.18
scaling,t3_pierce,T3,202,1.01
scaling,t1_mpen,T1,200,1
scaling,t3_redemption,T3,200,1
scaling,t3_shadowblade,T3,192,0.96
scaling,t3_nightscythe,T3,172,0.86
scaling,t3_lifespring,T3,151,0.76
scaling,t3_finalstring,T3,134,0.67
scaling,t3_frostcrown,T3,128,0.64
scaling,t3_thornmail,T3,128,0.64
scaling,t3_rendspear,T3,108,0.54
scaling,t2_scythe,T2,81,0.41
scaling,t3_psyward,T3,68,0.34
scaling,bt_quiet,BOOTS,33,0.17
counter,bt_base,BOOTS,2000,10
counter,t1_hp_s,T1,1870,9.35
counter,t1_ad_l,T1,1848,9.24
counter,t1_ap_l,T1,1799,8.99
counter,t1_ad_s,T1,1696,8.48
counter,t1_hp_l,T1,1485,7.43
counter,t2_mail,T2,1209,6.05
counter,t1_ah,T1,1169,5.85
counter,t2_core,T2,1147,5.74
counter,t2_belt,T2,1105,5.53
counter,t2_sigil,T2,935,4.68
counter,t2_veil,T2,919,4.6
counter,t2_rend,T2,871,4.36
counter,t1_as,T1,828,4.14
counter,t2_scope,T2,797,3.99
counter,st_blade,STARTER,796,3.98
counter,t1_ap_s,T1,789,3.95
counter,t2_gale,T2,706,3.53
counter,bt_swift,BOOTS,685,3.43
counter,t1_ar_s,T1,586,2.93
counter,t2_halo,T2,584,2.92
counter,t3_wardaltar,T3,582,2.91
counter,t1_hsp,T1,573,2.87
counter,bt_iron,BOOTS,569,2.85
counter,t1_mr_l,T1,494,2.47
counter,t2_heart,T2,469,2.35
counter,t3_calmveil,T3,434,2.17
counter,t3_starcrown,T3,424,2.12
counter,t1_mr_s,T1,421,2.11
counter,st_tome,STARTER,404,2.02
counter,st_hunter,STARTER,400,2
counter,st_tithe,STARTER,400,2
counter,t3_dawnbow,T3,400,2
counter,t3_warbringer,T3,392,1.96
counter,bt_arcane,BOOTS,370,1.85
counter,t3_unbroken,T3,358,1.79
counter,t3_bulwark,T3,343,1.72
counter,t3_shieldbreaker,T3,319,1.6
counter,t3_vowshield,T3,313,1.57
counter,bt_focus,BOOTS,300,1.5
counter,t2_rift,T2,270,1.35
counter,t3_stormfork,T3,268,1.34
counter,t3_finalstring,T3,259,1.3
counter,t1_ar_l,T1,257,1.29
counter,t1_crit,T1,252,1.26
counter,t1_apen,T1,249,1.25
counter,t3_psyward,T3,232,1.16
counter,t3_voidstaff,T3,220,1.1
counter,t3_bloodplate,T3,201,1
counter,t3_shadowblade,T3,192,0.96
counter,t3_redemption,T3,160,0.8
counter,t3_nightscythe,T3,160,0.8
counter,t2_echo,T2,154,0.77
counter,t1_mpen,T1,152,0.76
counter,t3_pierce,T3,149,0.75
counter,t3_thornmail,T3,144,0.72
counter,t2_scythe,T2,115,0.57
counter,t3_rendspear,T3,107,0.54
counter,t3_frostcrown,T3,96,0.48
counter,t3_lifespring,T3,71,0.36
counter,bt_quiet,BOOTS,37,0.19
counter,t2_vial,T2,20,0.1
counter,t3_soulrend,T3,20,0.1
survival,t1_hp_s,T1,2107,10.54
survival,bt_base,BOOTS,2000,10
survival,t1_ad_s,T1,1804,9.02
survival,t1_ap_l,T1,1798,8.99
survival,t1_hp_l,T1,1756,8.78
survival,t1_ad_l,T1,1715,8.57
survival,t2_belt,T2,1352,6.76
survival,t2_mail,T2,1190,5.95
survival,t2_core,T2,1186,5.93
survival,t1_ah,T1,1046,5.23
survival,t2_sigil,T2,927,4.64
survival,t2_veil,T2,925,4.63
survival,t1_ap_s,T1,802,4.01
survival,st_blade,STARTER,796,3.98
survival,t2_rend,T2,749,3.75
survival,t1_as,T1,703,3.52
survival,t2_scope,T2,691,3.46
survival,bt_swift,BOOTS,690,3.45
survival,t1_ar_s,T1,671,3.36
survival,t1_hsp,T1,629,3.15
survival,t2_gale,T2,626,3.13
survival,t3_unbroken,T3,618,3.09
survival,t2_halo,T2,608,3.04
survival,t3_wardaltar,T3,582,2.91
survival,bt_iron,BOOTS,567,2.84
survival,t1_mr_l,T1,482,2.41
survival,t3_starcrown,T3,424,2.12
survival,t3_calmveil,T3,420,2.1
survival,st_tome,STARTER,404,2.02
survival,st_hunter,STARTER,400,2
survival,st_tithe,STARTER,400,2
survival,t3_dawnbow,T3,400,2
survival,t2_heart,T2,398,1.99
survival,t1_mr_s,T1,394,1.97
survival,t3_warbringer,T3,392,1.96
survival,bt_arcane,BOOTS,376,1.88
survival,t3_bulwark,T3,353,1.77
survival,bt_focus,BOOTS,300,1.5
survival,t3_vowshield,T3,295,1.48
survival,t2_rift,T2,276,1.38
survival,t3_psyward,T3,251,1.25
survival,t1_ar_l,T1,238,1.19
survival,t3_bloodplate,T3,235,1.18
survival,t3_stormfork,T3,231,1.16
survival,t3_voidstaff,T3,226,1.13
survival,t1_apen,T1,225,1.13
survival,t3_shieldbreaker,T3,221,1.11
survival,t1_crit,T1,205,1.02
survival,t3_redemption,T3,199,1
survival,t3_shadowblade,T3,192,0.96
survival,t2_echo,T2,152,0.76
survival,t1_mpen,T1,148,0.74
survival,t3_pierce,T3,146,0.73
survival,t3_nightscythe,T3,143,0.72
survival,t3_thornmail,T3,125,0.63
survival,t3_finalstring,T3,107,0.54
survival,t3_frostcrown,T3,96,0.48
survival,t3_lifespring,T3,73,0.37
survival,t3_rendspear,T3,48,0.24
survival,t2_scythe,T2,37,0.19
survival,bt_quiet,BOOTS,36,0.18
