config,itemId,tier,purchases,per_match
early,t1_as,T1,801,4.01
early,st_blade,STARTER,796,3.98
early,t1_ap_s,T1,732,3.66
early,t1_hp_l,T1,717,3.59
early,t2_belt,T2,705,3.53
early,t2_mail,T2,572,2.86
early,t2_core,T2,563,2.82
early,bt_swift,BOOTS,541,2.71
early,bt_iron,BOOTS,523,2.62
early,t2_halo,T2,473,2.37
early,t1_hsp,T1,461,2.31
early,t1_crit,T1,422,2.11
early,t2_scope,T2,421,2.11
early,t3_starcrown,T3,414,2.07
early,st_tome,STARTER,404,2.02
early,st_hunter,STARTER,400,2
early,st_tithe,STARTER,400,2
early,t1_ar_s,T1,393,1.97
early,t3_warbringer,T3,392,1.96
early,t3_dawnbow,T3,362,1.81
early,t3_wardaltar,T3,352,1.76
early,t2_veil,T2,345,1.73
early,t2_gale,T2,329,1.65
early,t2_rend,T2,319,1.6
early,bt_arcane,BOOTS,309,1.55
early,t3_bulwark,T3,289,1.45
early,bt_focus,BOOTS,276,1.38
early,t1_mr_s,T1,269,1.35
early,t1_mr_l,T1,206,1.03
early,t3_vowshield,T3,202,1.01
early,t3_shadowblade,T3,192,0.96
early,t1_apen,T1,178,0.89
early,t3_calmveil,T3,118,0.59
early,t2_rift,T2,113,0.56
early,t1_mpen,T1,91,0.46
early,t2_heart,T2,65,0.33
early,t3_unbroken,T3,56,0.28
early,t3_stormfork,T3,41,0.21
early,t3_voidstaff,T3,35,0.18
early,t3_shieldbreaker,T3,31,0.16
early,bt_quiet,BOOTS,29,0.14
early,t3_nightscythe,T3,20,0.1
early,t3_finalstring,T3,13,0.07
early,t2_echo,T2,12,0.06
early,t1_ar_l,T1,10,0.05
early,t3_bloodplate,T3,9,0.05
early,t3_pierce,T3,9,0.05
early,t3_lifespring,T3,7,0.04
early,t3_redemption,T3,5,0.03
early,t3_frostcrown,T3,5,0.03
early,t3_psyward,T3,4,0.02
early,t3_thornmail,T3,4,0.02
early,t3_rendspear,T3,3,0.02
scaling,t1_hp_s,T1,2168,10.84
scaling,bt_base,BOOTS,2000,10
scaling,t1_ad_s,T1,1419,7.1
scaling,t1_ah,T1,1407,7.04
scaling,t1_ap_l,T1,1398,6.99
scaling,t1_ad_l,T1,1342,6.71
scaling,t2_sigil,T2,954,4.77
scaling,t1_ap_s,T1,810,4.05
scaling,t1_as,T1,797,3.99
scaling,st_blade,STARTER,796,3.98
scaling,t1_hp_l,T1,765,3.83
scaling,t2_belt,T2,732,3.66
scaling,t2_core,T2,598,2.99
scaling,t1_hsp,T1,577,2.89
scaling,t2_mail,T2,522,2.61
scaling,t2_halo,T2,503,2.52
scaling,t1_ar_s,T1,446,2.23
scaling,t2_scope,T2,420,2.1
scaling,t3_starcrown,T3,415,2.08
scaling,t1_crit,T1,414,2.07
scaling,st_tome,STARTER,404,2.02
scaling,st_hunter,STARTER,400,2
scaling,st_tithe,STARTER,400,2
scaling,t3_dawnbow,T3,399,2
scaling,t3_wardaltar,T3,395,1.98
scaling,t3_warbringer,T3,392,1.96
scaling,bt_iron,BOOTS,345,1.73
scaling,t2_rend,T2,342,1.71
scaling,t2_veil,T2,341,1.71
scaling,bt_swift,BOOTS,326,1.63
scaling,t3_bulwark,T3,290,1.45
scaling,t1_apen,T1,255,1.27
scaling,t1_mr_s,T1,246,1.23
scaling,t2_gale,T2,245,1.23
scaling,bt_focus,BOOTS,236,1.18
scaling,t3_vowshield,T3,201,1
scaling,t3_shadowblade,T3,192,0.96
scaling,t1_mr_l,T1,190,0.95
scaling,bt_arcane,BOOTS,155,0.78
scaling,t2_rift,T2,134,0.67
scaling,t1_mpen,T1,117,0.59
scaling,t3_calmveil,T3,115,0.57
scaling,t3_unbroken,T3,80,0.4
scaling,t2_heart,T2,77,0.39
scaling,t3_stormfork,T3,39,0.2
scaling,t3_voidstaff,T3,33,0.17
scaling,t3_nightscythe,T3,26,0.13
scaling,t3_shieldbreaker,T3,23,0.12
scaling,bt_quiet,BOOTS,17,0.09
scaling,t3_finalstring,T3,13,0.07
scaling,t3_pierce,T3,10,0.05
scaling,t2_echo,T2,10,0.05
scaling,t3_redemption,T3,9,0.05
scaling,t1_ar_l,T1,7,0.04
scaling,t3_bloodplate,T3,6,0.03
scaling,t3_lifespring,T3,6,0.03
scaling,t3_frostcrown,T3,6,0.03
scaling,t3_psyward,T3,5,0.03
scaling,t3_rendspear,T3,5,0.03
scaling,t3_thornmail,T3,4,0.02
counter,t1_hp_s,T1,2187,10.94
counter,bt_base,BOOTS,2000,10
counter,t1_ap_l,T1,1377,6.89
counter,t1_ad_s,T1,1324,6.62
counter,t1_ad_l,T1,1323,6.62
counter,t1_ah,T1,1166,5.83
counter,t2_sigil,T2,841,4.21
counter,st_blade,STARTER,796,3.98
counter,t1_as,T1,737,3.69
counter,t1_hp_l,T1,699,3.5
counter,t1_ap_s,T1,667,3.34
counter,t2_belt,T2,640,3.2
counter,bt_swift,BOOTS,586,2.93
counter,t2_core,T2,554,2.77
counter,t2_mail,T2,538,2.69
counter,bt_iron,BOOTS,510,2.55
counter,t2_veil,T2,480,2.4
counter,t1_ar_s,T1,451,2.26
counter,t2_scope,T2,426,2.13
counter,t1_crit,T1,419,2.1
counter,t3_starcrown,T3,415,2.08
counter,st_tome,STARTER,404,2.02
counter,st_hunter,STARTER,400,2
counter,st_tithe,STARTER,400,2
counter,t3_dawnbow,T3,399,2
counter,t1_hsp,T1,394,1.97
counter,t3_warbringer,T3,392,1.96
counter,t2_halo,T2,363,1.82
counter,t2_rend,T2,361,1.81
counter,t1_mr_s,T1,355,1.78
counter,bt_arcane,BOOTS,312,1.56
counter,bt_focus,BOOTS,290,1.45
counter,t1_apen,T1,289,1.45
counter,t3_bulwark,T3,285,1.43
counter,t1_mr_l,T1,285,1.43
counter,t3_wardaltar,T3,273,1.37
counter,t2_gale,T2,215,1.08
counter,t3_vowshield,T3,200,1
counter,t3_shadowblade,T3,192,0.96
counter,t3_calmveil,T3,160,0.8
counter,t2_heart,T2,92,0.46
counter,t2_rift,T2,59,0.3
counter,t1_mpen,T1,53,0.27
counter,t3_unbroken,T3,42,0.21
counter,bt_quiet,BOOTS,32,0.16
counter,t1_ar_l,T1,29,0.14
counter,t3_shieldbreaker,T3,26,0.13
counter,t3_finalstring,T3,23,0.12
counter,t3_stormfork,T3,23,0.12
counter,t2_scythe,T2,20,0.1
counter,t3_thornmail,T3,18,0.09
counter,t3_psyward,T3,13,0.07
counter,t3_voidstaff,T3,11,0.06
counter,t3_nightscythe,T3,9,0.05
counter,t2_vial,T2,7,0.04
counter,t3_rendspear,T3,6,0.03
counter,t3_redemption,T3,5,0.03
counter,t3_pierce,T3,5,0.03
counter,t2_echo,T2,5,0.03
counter,t3_bloodplate,T3,5,0.03
counter,t3_lifespring,T3,4,0.02
counter,t3_frostcrown,T3,3,0.02
counter,t3_soulrend,T3,1,0.01
survival,t1_hp_s,T1,2368,11.84
survival,bt_base,BOOTS,2000,10
survival,t1_ap_l,T1,1369,6.85
survival,t1_ad_s,T1,1328,6.64
survival,t1_ad_l,T1,1146,5.73
survival,t1_ah,T1,1146,5.73
survival,t2_sigil,T2,860,4.3
survival,t1_hp_l,T1,852,4.26
survival,t2_belt,T2,825,4.13
survival,st_blade,STARTER,796,3.98
survival,t1_ap_s,T1,622,3.11
survival,bt_swift,BOOTS,587,2.94
survival,t1_as,T1,550,2.75
survival,t2_core,T2,530,2.65
survival,t2_mail,T2,509,2.55
survival,bt_iron,BOOTS,506,2.53
survival,t1_hsp,T1,499,2.5
survival,t1_ar_s,T1,480,2.4
survival,t2_halo,T2,445,2.23
survival,t2_veil,T2,438,2.19
survival,t2_scope,T2,413,2.07
survival,t3_starcrown,T3,413,2.07
survival,t1_crit,T1,412,2.06
survival,st_tome,STARTER,404,2.02
survival,st_hunter,STARTER,400,2
survival,st_tithe,STARTER,400,2
survival,t3_dawnbow,T3,399,2
survival,t3_warbringer,T3,392,1.96
survival,t3_wardaltar,T3,335,1.68
survival,t1_mr_s,T1,326,1.63
survival,bt_arcane,BOOTS,294,1.47
survival,bt_focus,BOOTS,294,1.47
survival,t3_bulwark,T3,286,1.43
survival,t2_rend,T2,255,1.27
survival,t1_mr_l,T1,245,1.23
survival,t3_shadowblade,T3,192,0.96
survival,t1_apen,T1,191,0.96
survival,t3_vowshield,T3,180,0.9
survival,t3_calmveil,T3,118,0.59
survival,t2_gale,T2,105,0.53
survival,t3_unbroken,T3,73,0.37
survival,t1_mpen,T1,42,0.21
survival,t2_heart,T2,39,0.2
survival,t2_rift,T2,35,0.18
survival,bt_quiet,BOOTS,29,0.14
survival,t3_psyward,T3,15,0.08
survival,t3_shieldbreaker,T3,14,0.07
survival,t3_stormfork,T3,13,0.07
survival,t1_ar_l,T1,8,0.04
survival,t3_nightscythe,T3,6,0.03
survival,t3_voidstaff,T3,5,0.03
survival,t3_bloodplate,T3,4,0.02
survival,t3_finalstring,T3,3,0.02
survival,t3_redemption,T3,3,0.02
survival,t3_pierce,T3,2,0.01
survival,t3_thornmail,T3,1,0.01
survival,t2_echo,T2,1,0.01
